Facility_ID,Name,Category,Beds,ICU_Beds,LAT,LON
10373,Asheville Specialty Hospital,LT,34,0,35.58025757,-82.55069545
120232,Carolinas ContinueCare Hospital at Kings Mountain,LT,28,0,35.108043,-81.334666
10375,Highsmith-Rainey Specialty Hospital,LT,66,0,35.05439955,-78.88850185
10379,Select Specialty Hospital - Durham,LT,30,0,36.0368008,-78.90020183
10378,Select Specialty Hospital - Winston Salem,LT,42,0,36.07406852,-80.2985387
953348,Kindred Hospital - Greensboro,LT,124,0,36.049255,-79.769969
90732,Select Specialty Hospital-Greensboro,LT,30,0,36.0914674,-79.78629261
110195,Carolinas ContinueCare Hospital at Pineville,LT,40,0,35.0944001,-80.87297665
130487,Carolinas ContinueCare Hospital at University,LT,35,0,35.306299,-80.747474
923113,LifeCare Hospitals of North Carolina,LT,50,0,35.9713382,-77.8223899