RESIDENCE,Alamance Regional Medical Center,Alleghany Memorial Hospital,Angel Medical Center,Annie Penn Hospital,Anson County Hospital,Ashe Memorial Hospital,Betsy Johnson Hospital,Blue Ridge Healthcare Hospitals,Blue Ridge Regional Hospital,Caldwell Memorial Hospital,Cape Fear Valley-Bladen County Hospital,Cape Fear Valley Health System,Cape Fear Valley Hoke Hospital,Carolinaeast Medical Center,Carolinas Healthcare System Carolinas Medical Center,Carolinas Healthcare System Kings Mountain Hospital,Carolinas Healthcare System University Hospital,Lincoln Patient County Of Residence By Hospital,Carolinas Medical Center Northeast,Caromont Regional Medical Center,Carteret County General Hospital,Catawba Valley Medical Center,Central Carolina Hospital,Central Harnett Health,Charles A. Cannon Jr. Memorial Hospital,Chatham Hospital,Cleveland Regional Medical Center,Pineville Patient County Of Residence By Hospital,Columbus Regional Healthcare System,Cone Health,Continuecare University Nc,Davie County Hospital,Davis Medical Center,Duke Raleigh,Duke Regional Hospital,Duke University Medical Center,First Health Montgomery Hospital,First Health Moore Regional Hospital,First Health Richmond Memorial Hospital,Hamlet Patient County Of Residence By Hospital,Hoke Campus Patient County Of Residence By Hospital,Frye Regional Medical Center,Granville Health System,Halifax Regional Medical Center,Haywood Regional Medical Center,High Point Regional Hospital,Highlands-Cashiers Hospital,Hugh Chatham Memorial Hospital,Iredell Health System,J. Arthur Dosher Memorial Hospital,Johnston Health Clayton,Johnston Health Smithfield,Lake Norman Regional Medical Center,Lenoir Memorial Hospital,Lexington Memorial Hospital,Lifebrite Community Hospital Of Stokes,Margaret R. Pardee Memorial Hospital,Maria Parham Hospital,Martin General Hospital,Mcdowell Hospital,Medwest Harris,Medwest Swain,Mission Hospital,Murphy Medical Center,Nash Health Care System,New Hanover Regional Medical Center,North Carolina Specialty Hospital,Northern Hospital Of Surry County,Novant Health Brunswick Medical Center,Novant Health Charlotte Orthopedic Hospital,Novant Health Clemmons Medical Center,Novant Health Forsyth Medical Center,Novant Health Huntersville Medical Center,Novant Health Kernersville Medical Center,Novant Health Matthews Medical Center,Novant Health Medical Park Hospital,Novant Health Presbyterian Medical Center,Novant Health Rowan Medical Center,Novant Health Thomasville Medical Center,Onslow Memorial Hospital,Outer Banks Hospital,Park Ridge Health,Pender Memorial Hospital,Person County Memorial Hospital,Randolph Hospital,Rex Healthcare,Rutherford Hospital,Saint Luke'S Hospital,Sampson County Memorial Hospital,Scotland Health Care System,Sentara Albemarle Medical Center,Southeastern Regional Medical Center,Stanly Regional Medical Center,Transylvania Regional Hospital,Unc Hillsborough,Unc Rockingham Health Center,Union Regional Medical Center,University Of North Carolina Hospitals,Vidant Beaufort Hospital,Vidant Bertie Hospital,Vidant Chowan Hospital,Vidant Duplin Hospital,Vidant Edgecombe Hospital,Vidant Medical Center,Vidant Roanoke-Chowan Hospital,Wilkes Medical Center Patient County Of Residence By Hospital,Wake Forest Baptist Medical Center,Wakemed Cary,Wakemed North Family Health& Woman'S Hospital,Wakemed,Washington County Hospital,Watauga Medical Center,Wayne Memorial Hospital,Wilson Memorial Hospital
Iredell,,,,,,,,,,,,,,,1041.0,,93.0,,392.0,,,181.0,,,,,,,,,15.0,38.0,2801.0,,,,,,,,,88.0,,,,,,,6399.0,,,,3607.0,,,,,,,,,,,,,,,,,88.0,19.0,,990.0,,,12.0,481.0,101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1329.0,,,,,,,
Jackson,,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.0,,52.0,,,,,,,,,,,,,,1667.0,16.0,1183.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,
Johnston,,,,,,,185.0,,,,,,,,,,,,,,,,,,,,,,,,,,,407.0,,545.0,,,,,,,,,,,,,,,2554.0,6238.0,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,2167.0,,,,,,,,,32.0,,,1029.0,,,,,,,,,,356.0,56.0,2677.0,,,311.0,306.0
Jones,,,,,,,,,,,,,,768.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,215.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee,,,,,,,56.0,,,,,,,,,,,,,,,,3802.0,111.0,,8.0,,,,,,,,,,,,1349.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,,,1605.0,,,,,,,,,,180.0,,,,,,
Lenoir,,,,,,,,,,,,,,233.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4585.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.0,,2127.0,,,,,,,,,695.0,
Lincoln,,,,,,,,,,,,,,,1468.0,47.0,,3272.0,,975.0,,644.0,,,,,107.0,,,,4.0,,,,,,,,,,,387.0,,,,,,,,,,,192.0,,,,,,,,,,,,,,,,,75.0,,,804.0,,,,348.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macon,,,1370.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0,,112.0,,,,,,,,,,,,,,577.0,,1451.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1941.0,,,,,,,,,,,,,,,,,,,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1032.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,32.0,,,107.0,1632.0,60.0,,,,,,8.0,,,
McDowell,,,,,,,,667.0,45.0,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1914.0,,,2370.0,,,,,,,,,,,,,,,,,,,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mecklenburg,,,,,,,,,,,,,,,38815.0,386.0,6669.0,,2284.0,568.0,,,,,,,,8309.0,,,42.0,,129.0,,,,,,,,,,,,,,,,,,,,610.0,,,,,,,,,,,,,,,,,1349.0,,,5603.0,,6408.0,,21513.0,280.0,,,,,,,,,,,,,,,121.0,,,,261.0,,,,,,,,,,,,,,,,,
Mitchell,,,,,,,,,353.0,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.0,,,888.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montgomery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,155.0,1658.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.0,,,,,,,,482.0,,,,,,,,,,,,,,,,,,,,,
Moore,,,,,,,,,,,,,,,,,,,,,,,65.0,,,,,,,,,,,,,,10.0,9862.0,32.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785.0,,,,,,,,,,,,,,,,
Nash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.0,,,,,,,,,,,,,,,,,48.0,117.0,,,,,,,,,,,,,6893.0,,16.0,,,,,,,,,,,,,,,,,,,525.0,,,,,,,,,,,,527.0,,,,,422.0,1041.0,59.0,,,,,944.0,,,,577.0
New Hanover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20332.0,,,57.0,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,430.0,,,,,,,,,,,,,,,,
Northampton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1218.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411.0,587.0,,,,,,,,,
Onslow,,,,,,,,,,,,,,1281.0,,,,,,,919.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3377.0,,,,,,,,,,,,,,7018.0,,,13.0,,,,,,,,,,,,,,,453.0,,,,124.0,,1156.0,,,,,,,,,,
Orange,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,826.0,1684.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,977.0,,,5831.0,,,,,,,,,,,,,,,,
Other/Missing,,,37.0,,,,,,,,,,,,682.0,48.0,88.0,,,,67.0,,,,22.0,,,236.0,,,,23.0,,104.0,,941.0,,,,,,,,,121.0,,10.0,,,33.0,,,61.0,,,,113.0,,,,56.0,3.0,534.0,19.0,,431.0,16.0,,56.0,,,,85.0,,,,,,,,51.0,53.0,,,,,50.0,24.0,,,,,,29.0,,,,,,,,,,,,,582.0,168.0,,,,97.0,,
Pamlico,,,,,,,,,,,,,,1004.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasquotank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3044.0,,,,,,,,,,49.0,,,,83.0,,,,,,,,,
Pender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5029.0,,,,,,,,,,,,,,123.0,,,319.0,,,,,,,,,,,,,,,,,,,61.0,,,,,,,,,,,,
Perquimans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,691.0,,,,,,,,,4.0,226.0,,,,59.0,,,,,,,,,
Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1445.0,1458.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.0,,,,,,,,,,,,,,,,,811.0,,,,,,,,,,,86.0,,,394.0,,,,,,,,,,,,,,,,
Pitt,,,,,,,,,,,,,,143.0,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,215.0,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.0,5.0,,,86.0,17726.0,52.0,,,,,,,,,
Polk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367.0,,,,,,,,,,,,,,,,,,,,,,,,,154.0,,,,,99.0,597.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Randolph,309.0,,,,,,,,,,,,,,,,,,,,,,,,,117.0,,,,3062.0,,25.0,,,,,8.0,238.0,,,,,,,,2592.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.0,,,,,,4251.0,,,,,,,,,,32.0,,,750.0,,,,,,,,,1068.0,,,,,,,
Richmond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3436.0,1995.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.0,,,,,,,,,,,,,,,,,,,,,,,,
Robeson,,,,,,,,,,,29.0,2505.0,108.0,,,,,,,,,,,,,,,,57.0,,,,,,,685.0,,1361.0,29.0,,124.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2111.0,,11530.0,,,34.0,,,796.0,,,,,,,,,,,,,,,,
Rockingham,121.0,,,2518.0,,,,,,,,,,,,,,,,,,,,,,,,,,4407.0,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,53.0,,11.0,,,,,,,,,,,,,,,,,,,,2195.0,,,,,,,,,,,806.0,,,,,,,
Rowan,,,,,,,,,,,,,,,,,,,3486.0,,,,,,,,,,,,15.0,23.0,185.0,,,,,,,,,,,,,,,,218.0,,,,220.0,,201.0,,,,,,,,,,,,,,,44.0,,576.0,,,,,557.0,7880.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,765.0,,,,,,,
Rutherford,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,1074.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.0,,,99.0,,,817.0,,,,,,,,,,,,,,,,,,,65.0,,,,,3771.0,206.0,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH CAROLINA,,,,,3.0,,,,,,,,,,6833.0,143.0,95.0,,,1041.0,,,,,,,165.0,8782.0,,,8.0,,,,,925.0,,235.0,73.0,,,,,,,,,,,,,,,,,,85.0,,,,,2.0,,,,,,,,385.0,,,,,683.0,,1894.0,,,,,65.0,,,,,,238.0,,1183.0,,,,,,,1630.0,,,,,,,,,,,,,,,,,
Sampson,,,,,,,227.0,,,,77.0,1342.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.0,,,,,,,,,,,,,,401.0,,,,,,,,,,,,,,,,,17.0,,,868.0,,,2944.0,,,,,,,,,554.0,,,,148.0,,,,,,,,,,,237.0,
Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,966.0,68.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2705.0,,,,,,,,,,,,,,,,,,,,,,,,
Stanly,,,,,,,,,,,,,,,874.0,39.0,,,2700.0,,,,,,,,,,,,6.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,,,,189.0,,,147.0,,,,,,,,,,,,,,,3032.0,,,,,,,,,,,,,,,,,,,,,
Stokes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,,,,,,,,,,,,,,,,,,,,,,,,173.0,,,,,,,,,,,,126.0,,,144.0,3034.0,,179.0,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1220.0,,,,,,,
Surry,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,57.0,76.0,,,,,,,,,,,,,,,1697.0,,,,,,,,21.0,,,,,,,,,,,,3040.0,,,117.0,2836.0,,,,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1634.0,,,,,,,
Swain,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.0,,,,,,,,,,,,,,,,1110.0,106.0,942.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TENNESSEE,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.0,,
Transylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,373.0,,,,,,1516.0,,,,,,,,,,,,,,,,,,,217.0,,,,,,,,,,,,1357.0,,,,,,,,,,,,,,,,,,,,
Tyrrell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,4.0,152.0,,,,,,,,,,11.0,,,
Union,,,,,5.0,,,,,,,,,,3819.0,104.0,,,,,,,,,,,,1329.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.0,,,,,4461.0,,1994.0,,,,,,,,,,,,,,,,57.0,,,,6063.0,,,,,,,,,,,,,,,,,
VIRGINIA,,78.0,,125.0,,24.0,,,,,,,,,,,,,,,,,,,,,,,,792.0,,73.0,,127.0,387.0,2448.0,,,,,,,44.0,142.0,,,,86.0,,,,,,,,7.0,,67.0,,,,,,,,,75.0,1033.0,,,20.0,1156.0,,,,33.0,,,,,45.0,,,16.0,,,,,,,84.0,,,,39.0,941.0,,,,,,,,,,,2319.0,,,,,,,
Vance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.0,1218.0,,,,,,,536.0,,,,,,,,,,,,,,,3222.0,,,,,,,,,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,
Wake,,,,,,,64.0,,,,,,,,,,,,,,,,,96.0,,,,,,,2.0,,,6025.0,1260.0,5952.0,,,,,,,40.0,,,,,,,,900.0,531.0,,,,,,,,,,,,,,,214.0,,,,,,,,,,,,,,,,,,,23148.0,,,,,,,,,193.0,,,6137.0,74.0,,,,,,98.0,,,11665.0,1873.0,24892.0,,,,
Warren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.0,68.0,,,,,,,,,,,,,,939.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.0,8.0,328.0,,,653.0,53.0,,,,,,133.0,,,
Watauga,,,,,,19.0,,,,,,,,,,,,,,,,,,,132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2096.0,,
Wayne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0,,,,,,,,,,,,,,,,,60.0,288.0,,119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,764.0,,,,,,,,,,,,432.0,,,,285.0,,1574.0,,,,,,,,,9867.0,179.0
Wilkes,,,,,,,,,,76.0,,,,,,,,,,,,,,,30.0,,,,,,,30.0,66.0,,,,,,,,,,,,,,,970.0,102.0,,,,,,,,,,,,,,,,,,,,,,34.0,1071.0,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3309.0,1652.0,,,,,201.0,,
Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504.0,,17.0,,,,,,,,,,,,,,,,,,,615.0,,,,,,,,,,,,,,,,52.0,58.0,1687.0,45.0,,,,,,,,,5872.0
Yadkin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,78.0,,,,,,,,,,,,,,,933.0,81.0,,,,,,,,,,,,,,,,,,,,,,154.0,1972.0,,,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,869.0,,,,,,,
Yancey,,,,,,,,,212.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,,1406.0,,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actual,11937.0,318.0,1586.0,3056.0,295.0,1377.0,2862.0,7868.0,668.0,4247.0,1193.0,38862.0,1269.0,14614.0,67488.0,2663.0,8362.0,4968.0,25453.0,24164.0,6511.0,13383.0,5060.0,1516.0,1063.0,668.0,9387.0,19684.0,4227.0,48800.0,149.0,1590.0,4541.0,9456.0,17683.0,44856.0,180.0,23629.0,2407.0,4.0,583.0,9171.0,2504.0,5850.0,5772.0,17210.0,199.0,4104.0,8480.0,931.0,3989.0,8104.0,5347.0,5728.0,3348.0,225.0,8193.0,5117.0,1279.0,2364.0,4109.0,170.0,44097.0,1810.0,11726.0,42207.0,1560.0,4314.0,4619.0,2854.0,1936.0,42418.0,8849.0,3036.0,12452.0,902.0,30228.0,10371.0,5115.0,7783.0,1451.0,4544.0,427.0,976.0,4796.0,33523.0,4366.0,1261.0,3352.0,6301.0,5391.0,13266.0,4159.0,1536.0,3148.0,3288.0,9763.0,40148.0,3839.0,373.0,1768.0,3846.0,3691.0,42944.0,4640.0,3628.0,38667.0,14026.0,2583.0,35601.0,160.0,4782.0,11823.0,7234.0
Calculated,11551.0,307.0,1543.0,2981.0,287.0,1331.0,2819.0,7288.0,643.0,4089.0,1169.0,37380.0,1215.0,14051.0,63064.0,2556.0,7926.0,4826.0,23693.0,23715.0,6246.0,12276.0,4938.0,1472.0,908.0,643.0,9226.0,19055.0,4134.0,46523.0,140.0,1497.0,4107.0,8128.0,16018.0,35137.0,177.0,22978.0,2358.0,4.0,569.0,8318.0,2430.0,5614.0,5446.0,16647.0,195.0,3983.0,8196.0,880.0,3854.0,7778.0,5164.0,5637.0,3206.0,223.0,7869.0,4989.0,1258.0,2302.0,3969.0,169.0,41363.0,1788.0,11190.0,40644.0,1405.0,4199.0,4433.0,2626.0,1864.0,40247.0,8616.0,2856.0,12128.0,856.0,28867.0,9623.0,4573.0,7492.0,1409.0,4277.0,417.0,961.0,4702.0,30865.0,4197.0,1212.0,3251.0,6165.0,5163.0,12885.0,3966.0,1479.0,2732.0,3223.0,9470.0,32508.0,3379.0,366.0,1695.0,3355.0,3554.0,40399.0,4212.0,3428.0,35413.0,13269.0,2466.0,32620.0,155.0,4510.0,11431.0,7027.0
Unreported,386.0,11.0,43.0,75.0,8.0,46.0,43.0,580.0,25.0,158.0,24.0,1482.0,54.0,563.0,4424.0,107.0,436.0,142.0,1760.0,449.0,265.0,1107.0,122.0,44.0,155.0,25.0,161.0,629.0,93.0,2277.0,9.0,93.0,434.0,1328.0,1665.0,9719.0,3.0,651.0,49.0,0.0,14.0,853.0,74.0,236.0,326.0,563.0,4.0,121.0,284.0,51.0,135.0,326.0,183.0,91.0,142.0,2.0,324.0,128.0,21.0,62.0,140.0,1.0,2734.0,22.0,536.0,1563.0,155.0,115.0,186.0,228.0,72.0,2171.0,233.0,180.0,324.0,46.0,1361.0,748.0,542.0,291.0,42.0,267.0,10.0,15.0,94.0,2658.0,169.0,49.0,101.0,136.0,228.0,381.0,193.0,57.0,416.0,65.0,293.0,7640.0,460.0,7.0,73.0,491.0,137.0,2545.0,428.0,200.0,3254.0,757.0,117.0,2981.0,5.0,272.0,392.0,207.0
